country,year,niger_rate,world_rate,year2,niger_schooling,world_schooling,,,,,
Niger,1950,422.9,224.45,,1990,0.7,5.8,,,,,
Niger,1955,404.08,203.49,,1991,0.7,5.9,,,,,
Niger,1960,384.28,307.11,,1992,0.8,6.1,,,,,
Niger,1965,356.25,172.13,,1993,0.8,6.2,,,,,
Niger,1970,340.66,151.32,,1994,0.8,6.3,,,,,
Niger,1975,336.19,134.17,,1995,0.9,6.5,,,,,
Niger,1980,318.35,116.56,,1996,0.9,6.6,,,,,
Niger,1985,312.74,101.82,,1997,1,6.7,,,,,
Niger,1990,296.83,87.84,,1998,1,6.9,,,,,
Niger,1995,271.86,80.88,,1999,1.1,7,,,,,
Niger,2000,229.05,73.48,,2000,1.1,7.1,,,,,
Niger,2005,181.11,63.52,,2001,1.1,7.1,,,,,
Niger,2010,143.45,53.48,,2002,1.2,7.2,,,,,
Niger,2017,112,40.6,,2003,1.2,7.3,,,,,
Niger,2018,138.06,15.46,,2004,1.3,7.4,,,,,
Niger,2019,133.66,12.24,,2005,1.3,7.5,,,,,
Niger,2020,129.26,9.02,,2006,1.3,7.6,,,,,
Niger,2021,124.86,5.8,,2007,1.4,7.6,,,,,
Niger,2022,120.47,2.57,,2008,1.4,7.7,,,,,
Niger,2023,116.07,0,,2009,1.4,7.8,,,,,
Niger,2024,111.67,,,2010,1.4,7.9,,,,,
Niger,2025,107.27,,,2011,1.5,8,,,,,
Niger,2026,102.87,,,2012,1.6,8.1,,,,,
Niger,2027,98.47,,,2013,1.7,8.1,,,,,
Niger,2028,94.07,,,2014,1.7,8.2,,,,,
Niger,2029,89.68,,,2015,1.8,8.3,,,,,
Niger,2030,85.28,,,2016,1.9,8.4,,,,,
Niger,2031,80.88,,,2017,2,8.4,,,,,
Niger,2032,76.48,,,2018,2,8.4,,,,,
Niger,2033,72.09,,,2019,2.1,8.5,,,,,
Niger,2034,67.69,,,,,,,,,,
Niger,2035,63.3,,,,,,,,,,
Niger,2036,58.89,,,,,,,,,,
Niger,2037,54.5,,,,,,,,,,
Niger,2038,50.1,,,,,,,,,,
Niger,2039,45.7,,,,,,,,,,
Niger,2040,41.3,,,,,,,,,,
Niger,2041,36.9,,,,,,,,,,
Niger,2042,32.5,,,,,,,,,,
Niger,2043,28.18,,,,,,,,,,
Niger,2044,23.71,,,,,,,,,,
Niger,2045,19.31,,,,,,,,,,
Niger,2046,14.91,,,,,,,,,,
Niger,2047,10.52,,,,,,,,,,
Niger,2048,6.12,,,,,,,,,,
Niger,2049,1.72,,,,,,,,,,
Niger,2050,0,,,,,,,,,,
